overlay_rule,overlay_action,overlay_reduced_position_pct,rule_factor_count,rule_set_count,initial_cash,final_equity,equity_multiple,executed_trade_count,skipped_trade_count,rule_hit_count,rule_hit_loss_count,rule_hit_win_rate_original,rule_hit_avg_original_return,win_rate,avg_account_return,median_account_return,max_profit,max_loss,max_drawdown,max_consecutive_losses
first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10 OR prev_pct_chg_bucket=neg3_0;segment_retreat_state_bucket=weak_below_3,hard_exclude,,4,2,500000.0,28307603.182531513,56.615206365063024,52,7,7,2,0.2857142857142857,-0.0309712797682257,0.7884615384615384,0.08750888044668706,0.05440019460158381,0.4980539655009626,-0.07140871221824048,-0.10683334681309986,2
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR amount_ratio_bucket=3_5;retreat_state_bucket=neutral,hard_exclude,,4,2,500000.0,28216013.180167697,56.43202636033539,53,6,6,2,0.3333333333333333,-0.03546044542691215,0.7735849056603774,0.08578161315870982,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.07140871221824041,1
first_time_detail_bucket=before_1000;turnover_rate_bucket=6_10 OR open_times_bucket=2_3;retreat_state_bucket=warming_2day,hard_exclude,,4,2,500000.0,28162341.136598475,56.32468227319695,53,6,6,2,0.16666666666666666,-0.033922142162974,0.7924528301886793,0.08560746561939606,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.10657095319676047,2
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR turnover_rate_bucket=6_10,hard_exclude,,3,2,500000.0,28105750.387929644,56.21150077585929,53,6,6,2,0.16666666666666666,-0.033608475674148784,0.7924528301886793,0.08557195620556678,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,1
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR fd_ratio_bucket=0_5pct_1pct;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,28105750.387929644,56.21150077585929,53,6,6,2,0.16666666666666666,-0.033608475674148784,0.7924528301886793,0.08557195620556678,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,1
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR market_limit_down_count_bucket=5_15;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,28105750.387929644,56.21150077585929,53,6,6,2,0.16666666666666666,-0.033608475674148784,0.7924528301886793,0.08557195620556678,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,1
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR market_segment=chi_next;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,28105750.387929644,56.21150077585929,53,6,6,2,0.16666666666666666,-0.033608475674148784,0.7924528301886793,0.08557195620556678,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,1
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR prev_pct_chg_bucket=0_3;turnover_rate_bucket=6_10,hard_exclude,,4,2,500000.0,28105750.387929644,56.21150077585929,53,6,6,2,0.16666666666666666,-0.033608475674148784,0.7924528301886793,0.08557195620556678,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,1
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR turnover_rate_bucket=6_10;volume_ratio_bucket=2_4,hard_exclude,,4,2,500000.0,28105750.387929644,56.21150077585929,53,6,6,2,0.16666666666666666,-0.033608475674148784,0.7924528301886793,0.08557195620556678,0.04913002922707176,0.4980539655009626,-0.07140871221824048,-0.07140871221824052,1
amount_ratio_bucket=2_3;open_times_bucket=2_3 OR amount_ratio_bucket=3_5;volume_ratio_bucket=2_4,hard_exclude,,4,2,500000.0,28085861.182711344,56.17172236542269,52,7,7,2,0.2857142857142857,-0.02965404600771927,0.7884615384615384,0.08733156051738812,0.05131510731701773,0.4980539655009626,-0.07140871221824048,-0.07140871221824063,1
