signal_date,status,strategy_leg,ts_code,name,buy_date,exit_date,account_return,equity_before,equity_after,blocked_by_leg,blocked_by_code,blocked_until,return_source,peak_equity,drawdown,entry_gate_enabled
20251028,EXECUTED,A,920748.BJ,路桥信息,20251029,20251030,-0.017573967119838513,237170989.94425356,233002954.7651937,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),237170989.94425356,-0.017573967119838496,True
20251031,EXECUTED,A,300204.SZ,舒泰神,20251103,20251104,-0.04267689724244488,233002954.7651937,223059111.60749352,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),237170989.94425356,-0.05950086197336779,True
20251104,EXECUTED,A,300402.SZ,宝色股份,20251105,20251106,0.0021752415944631355,223059111.60749352,223544319.06508613,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),237170989.94425356,-0.05745504912877564,True
20251106,EXECUTED,A,300437.SZ,清水源,20251107,20251110,0.3687231660523884,223544319.06508613,305970288.14378995,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),305970288.14378995,0.0,True
20251110,EXECUTED,A,300997.SZ,欢乐家,20251111,20251112,0.13767877176669485,305970288.14378995,348095901.6125286,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),348095901.6125286,0.0,True
20251113,EXECUTED,E,300827.SZ,上能电气,20251114,20251117,-0.013231005494505397,348095901.6125286,343490242.82567847,,,,E_R1:25;first_time=1000_1100,348095901.6125286,-0.013231005494505288,True
20251117,EXECUTED,C,002805.SZ,丰元股份,20251118,20251120,-0.13823939725321055,343490242.82567847,296006358.69509774,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),348095901.6125286,-0.1496413565231015,True
20251120,EXECUTED,A,301092.SZ,争光股份,20251121,20251124,-0.0375878538588332,296006358.69509774,284880114.94318104,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),348095901.6125286,-0.18160451294170687,True
20251125,EXECUTED,A,301117.SZ,佳缘科技,20251126,20251127,-0.0591770388934532,284880114.94318104,268021753.30121702,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),348095901.6125286,-0.230034734509582,True
20251127,EXECUTED,E,688033.SH,天宜新材,20251128,20251201,-0.005320601005377487,268021753.30121702,266595716.49113953,,,,E_R1:2;first_time=1100_1330,348095901.6125286,-0.23413141247525604,True
20251201,EXECUTED,C,000078.SZ,海王生物,20251202,20251204,0.21608992584586476,266595716.49113953,324204365.09853506,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),348095901.6125286,-0.06863492618935696,True
20251204,EXECUTED,A,300946.SZ,恒而达,20251205,20251208,0.03734707754276172,324204365.09853506,336312450.6615719,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),348095901.6125286,-0.03385116255713072,True
20251212,EXECUTED,A,920576.BJ,天力复合,20251215,20251216,0.19537191636863144,336312450.6615719,402018458.645954,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),402018458.645954,0.0,True
20251219,EXECUTED,A,300557.SZ,理工光科,20251222,20251223,-0.10436686458834855,402018458.645954,360061052.6104351,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),402018458.645954,-0.10436686458834854,True
20251225,EXECUTED,C,001400.SZ,江顺科技,20251226,20251230,0.005453001507974705,360061052.6104351,362024466.07328284,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),402018458.645954,-0.09948297575035658,True
20251231,EXECUTED,A,300058.SZ,蓝色光标,20260105,20260106,0.13524625511411673,362024466.07328284,410986919.3693819,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),410986919.3693819,0.0,True
20260109,EXECUTED,C,600410.SH,华胜天成,20260112,20260114,0.010606999842834542,410986919.3693819,415346257.55854005,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),415346257.55854005,0.0,True
20260114,EXECUTED,D,300427.SZ,红相股份,20260114,20260116,-0.006852944162436547,415346257.55854005,412499912.8474144,,,,D_T2_CLOSE;净收益×80%成交压力,415346257.55854005,-0.006852944162436536,True
