signal_date,strategy_leg,ts_code,name,buy_date,exit_rule,hold_offset,matched_condition_profile_ids,fill_probability,planned_buy_amount,available_fill_amount,status,exit_date,stock_return_before_fees,entry_reference_price,entry_price,exit_reference_price,exit_price,buy_adj_factor,sell_adj_factor,position_scale,account_return,entry_filled,position_opened,outcome_observable,position_open_until,action_date
20250704,A,300436.SZ,广生堂,20250707,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,1766263776.3078015,OK,20250708,0.10254412620950881,54.51,54.56450999999999,60.22,60.15978,2.027,2.027,1.0,0.08360637901050526,True,True,True,20250708,20250707
20250715,A,300502.SZ,新易盛,20250716,FIXED_T2_CLOSE,2,A_FD_0_3PCT_0_5PCT,1.0,412500.0,10740695150.296509,OK,20250717,0.13248015975120064,161.71,161.87170999999998,183.5,183.3165,11.9444,11.9444,1.0,0.10828360192798678,True,True,True,20250717,20250716
20250725,A,300539.SZ,横河精密,20250728,FIXED_T2_CLOSE,2,A_FD_0_3PCT_0_5PCT,1.0,412500.0,1047982070.708013,OK,20250729,0.2783785905800671,23.03,23.05303,29.5,29.4705,2.3353,2.3353,1.0,0.22855231073540025,True,True,True,20250729,20250728
20250729,A,300528.SZ,幸福蓝海,20250730,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,753549841.6159179,OK,20250731,0.0294805150424875,22.51,22.53251,23.22,23.19678,1.214,1.214,1.0,0.02337772455587504,True,True,True,20250731,20250730
20250730,A,300877.SZ,金春股份,20250731,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,517939964.4694425,OK,20250801,-0.03486443891763702,31.58,31.611579999999996,30.54,30.50946,1.0426,1.0426,1.0,-0.029663863945743826,True,True,True,20250801,20250731
20250815,A,920476.BJ,海能技术,20250818,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,488200711.659614,OK,20250819,0.14754388468674184,31.5,31.531499999999998,36.22,36.18378,3.8937,3.8937,1.0,0.12070110866562009,True,True,True,20250819,20250818
20250827,A,301488.SZ,豪恩汽电,20250828,FIXED_T2_CLOSE,2,A_FD_0_3PCT_0_5PCT,1.0,412500.0,330044821.00965804,OK,20250829,0.179674792066723,104.1,104.20409999999998,123.05,122.92694999999999,1.0234,1.0234,1.0,0.14718763577524788,True,True,True,20250829,20250828
20250901,A,920274.BJ,宏裕包材,20250902,FIXED_T2_CLOSE,2,A_FD_1PCT_2PCT_NON_ONE_WORD_FALLBACK,1.0,412500.0,493668556.22398496,OK,20250903,0.5788652523946642,30.6,30.630599999999998,48.41,48.36159,2.1701,2.1701,1.0,0.4762530065206852,True,True,True,20250903,20250902
20250903,A,300092.SZ,科新机电,20250904,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,1049658166.54984,OK,20250905,0.04834786863163121,19.03,19.04903,19.99,19.97001,2.7376,2.7376,1.0,0.03893068315788266,True,True,True,20250905,20250904
20250908,A,301538.SZ,骏鼎达,20250909,FIXED_T2_CLOSE,2,A_FD_0_5PCT_1PCT,1.0,412500.0,316920873.96561503,OK,20250910,0.0016112107071013515,91.25,91.34124999999999,91.58,91.48842,1.9874,1.9874,1.0,0.0004041721418035946,True,True,True,20250910,20250909
